22,Sazerac,"Originally, the Sazerac was made and served in an egg cup called a ''coquetier''—a word speculated by some linguists to be the origin of the word cocktail, though this myth has now been debunked. See below.",*2 ounces Rye whiskey *Three dashes Peychaud's Bitters *One sugar cube or 1 tsp simple syrup *Splash of absinthe or Herbsaint,"One old fashioned or rocks glass is packed with ice and water to chill the glass. In a second old fashioned glass, muddle the sugar cube or simple syrup with the bitters. Add the rye to this mixture. Stir to combine. Empty the ice from the first glass. Pour the absinthe or Herbsaint into the glass and swirl to coat the sides of the glass. Any excess absinthe or Herbsaint is discarded. Pour the rye/sugar/bitters mixture into the coated glass. Twist a lemon peel over the glass and rub the rim of the glass with the peel. The peel can be discarded or placed into the cocktail.",straight up,Lemon peel,Sazerac,,,,
23,Sidecar,,*Four parts brandy or cognac *Two parts Cointreau *One part lemon juice,Mix the ingredients in a shaker half-full of ice. Strain and serve in a sugar-rimmed glass. Garnish with a strip of lemon rind,straight up,"Sugared glass, lemon rind",Sidecar (cocktail),0,15,30,40
24,Brandy Alexander,,*30ml (1 part) Cognac *30ml (1 part) Crème de cacao (brown) *30ml (1 part) Fresh cream,Shake and strain into a chilled cocktail glass. Sprinkle with fresh ground nutmeg.,straight,Grated nutmeg,Brandy Alexander,-20,15,1,40
25,Martini,,*55ml (11 parts) gin *15ml (3 parts) dry vermouth,"Straight: Pour all ingredients into mixing glass with ice cubes. Stir well. Strain in chilled martini cocktail glass. Squeeze oil from lemon peel onto the drink, or garnish with olive. (On the rocks: Pour all ingredients over ice cubes in old-fashioned glass, garnish as above and serve.)",straight (or on the rocks),Olive or lemon twist,Martini (cocktail),10,35,40,46
26,Caipirinha,"A wide variety of fresh fruits can be used in place of lime. In the absence of cachaça, vodka can be used, making a caipiroska.","* 50 ml (1⅔ fl oz) cachaça * ½ Lime cut into 4 wedges (or tahiti lime, but '''not''' green lemon) * 2 teaspoons crystal or refined sugar",Place lime and sugar into old fashioned glass and muddle (mash the two ingredients together using a muddler or a wooden spoon). Fill the glass with crushed ice and add the Cachaça.,on the rocks,"sugar cane, lime(ingredient)",Caipirinha,20,60,44,46
27,Daiquirí,,*45ml (9 parts) White rum *20ml (4 parts) lime juice *5ml (1 part) Simple syrup,Pour all ingredients into shaker with ice cubes. Shake well. Strain in chilled cocktail glass.,straight,Half a lime slice,Daiquiri,25,50,44,46
28,Singapore Sling,,* 40ml (8 parts) Gin * 20ml (4 parts) Heering Cherry Liqueur (cherry brandy) * 5ml (1 part) Cointreau * 5ml (1 part) DOM Bénédictine * 10ml (2 parts) Grenadine * 80ml (16 parts) Pineapple juice * 30ml (6 parts) Fresh lemon juice * 1 dash Angostura bitters,Pour all ingredients into cocktail shaker filled with ice cubes. Shake well. Strain into hurricane glass. Garnish with pineapple and maraschino cherry.,straight,"Maraschino cherry, pineapple",Singapore Sling,20,45,44,46
29,Pink Gin,The traditional garnish is a shave of lemon rind. You can obtain this by removing about an inch strip of lemon rind with a potato peeler.,*One part Plymouth gin *Dash of Angostura Bitters,"Chill the glass, then coat the inside with the Bitters. Add the gin very well chilled, garnish and serve.",straight,lemon,Pink Gin,0,10,1,46
30,Irish Coffee,,*40ml (2 parts) Irish whiskey *80ml (4 parts) hot coffee *30ml (1½ parts) fresh cream *1tsp brown sugar,"Heat the coffee, whiskey and sugar; do not boil. Pour into glass and top with cream; serve hot.",hot,,Irish coffee,-20,10,1,46
31,Cosmopolitan,The drink should be a frothy bright pink colour,* 40 ml Vodka Citron * 15 ml Cointreau * 15 ml Fresh lime juice * 30 ml Cranberry juice,Add all ingredients into cocktail shaker filled with ice. Shake well and double strain into large cocktail glass. Garnish with lime wheel.,straight,"Lemon slice, lime wedge",Cosmopolitan (cocktail),10,20,30,46
