123,Sex on the Beach,,* 2 parts (40ml) Vodka * 1 parts (20ml) Peach schnapps * 2 parts (40ml) Orange juice * 2 parts (40ml) Cranberry juice,Build all ingredients in a highball glass filled with ice. Garnish with orange slice.,on the rocks,orange slice,Sex on the Beach,30,45,38,46
124,Pink Lady,,*1.5 oz. gin *4 dashes grenadine *1 egg white,Shake ingredients very well with ice and strain into cocktail glass. Garnish with a cherry.,1,cherry,Pink lady (cocktail),15,25,1,40
125,Orange Whip,,*4oz (four parts) orange juice *1oz (one part) rum *1oz (one part) vodka *2oz (two parts) cream,Blend briefly with hand blender. Pour ingredients over ice and stir.,"blended (no ice), then on the rocks",None,Orange Whip,5,25,10,37
126,Redheaded slut,"may also be served as a shooter -- chilled and shaken, without ice",*5 cl (one part) Jägermeister *5 cl (one part) peach schnapps *cranberry juice,Combine Jägermeister and schnapps in glass full of ice. Add cranberry juice to fill to top. Stir as necessary.,on the rocks,,Redheaded slut,-20,20,10,37
127,Gin Bucket,,"*One or Two handles Gin *4 l Fresca, Sprite or 7-up *Fresh squeezed citrus fruit","Mix all in bucket, add ice",,,Gin bucket,-5,25,1,30
128,Cheeky Vimto,,* 275ml blue WKD * 50ml port,,neat or with ice,,Cheeky Vimto,25,35,1,30
129,Blue Hawaii,"For best results do not use bottled Sweet and Sour mix, but rather make your own at the bar with fresh citrus juice and simple syrup. This advice applies to any drink that calls for Sweet and Sour.","* 3/4 ounce light rum * 3/4 ounce vodka * 1/2 ounce Curaçao * 3 ounces pineapple juice, unsweetened * 1 ounce Sweet and Sour","Combine all ingredients with ice, stir or shake, then pour into a hurricane glass with the ice. For garnish score pineapple or orange slice with a knife and inert onto rim of glass; optionally use toothpick or cocktail umbrella to spear maraschino cherry through center and attach to top of fruit slice; otherwise float cherry on top of ice.",on the rocks,"pineapple or orange quarter slice, maraschino cherry",Blue Hawaii (drink),28,35,40,46
130,Harrogate Nights,,2.5cl (1 part) Vodka 1.25cl (1/2 part) Archers (Peach Schnapps) 1.25cl (1/2 part) Malibu 2.5cl (1 part) Fresh Orange Juice 2.5cl (1 part) Fresh Pineapple Juice dash of Fresh Cranberry Juice,"Fill a Highball glass with ice then add a dash of cranberry juice. Add the rest of the ingredients to the Boston glass, shake and strain into the Highball glass. Garnish and serve.",on the rocks,orange slice,Harrogate Nights,5,25,1,40
131,Fizzy Apple Cocktail,,*1 shot Apple Vodka *1/2 cup Apple Juice *1/2 cup Lemonade,Combine all three ingredients into a chilled glass and serve with ice and garnish.,chilled,apple slice, lemon,15,30,40,46
132,Brandy Sour,,*5 cl (two parts) Cyprus brandy *2.5 cl (one part) lemon squash *2-4 drops of bitters *Top with carbonated water,"Stir into glass over ice, garnish and serve.",on the rocks,,Brandy Sour (Cyprus),15,25,1,40
133,Sea breeze,,*40 ml Vodka *120 ml Cranberry juice *30 ml Grapefruit juice,Build all ingredients in a highball glass filled with ice. Garnish with lime wedge.,on the rocks,lime slice,Sea Breeze (cocktail),20,35,40,46
134,Sin slammer,,"soda water, gomme syrup",,,,Sin slammer,15,30,25,46
135,Seven and Seven,,*1 shot Seagram's Seven Crown whiskey *6 fl. oz. 7 Up *Ice,Pour whiskey into Collins glass filled with ice. Fill to desired level with 7 Up. Stir lightly.,on the rocks,,7 and 7,20,30,30,46
136,"Lemon, Lime & Bitters",,*Lemonade *Lime juice cordial (aka sweetened lime juice) *Bitters,Rim the inside of the glass with 4 to 5 dashes of bitters then pour lemonade and lime juice (15-30 mL) into glass. Garnish if desired.,Straight up or with ice,Slice of lemon or lime,"Lemon, Lime and Bitters",20,30,30,46
137,Slippery Nipple,,*(1 part) Sambuca * (1 part) Baileys Irish Cream,"Pour the Sambuca into a shot glass, then pour the Baileys on top so that the two liquids do not mix.",neat,Cherry (optional),Slippery nipple,18,69,40,46
138,Chimayó Cocktail,,* 1½ oz Tequila * 1 oz apple cider * 1/4 oz lemon juice * 1/4 oz creme de cassis,Pour the tequila and unfiltered apple cider into glass over ice. Add the lemon juice and creme de cassis and stir. Garnish and serve.,on the rocks,slice of unpeeled apple,Chimayó Cocktail,25,35,43,46
139,Cape Cod,,* Vodka * Cranberry juice,Build all ingredients in a highball glass filled with ice. Garnish with lime wedge.,on the rocks,lime slice,Cape Codder (cocktail),15,30,40,46
140,Flaming Volcano,,,,,,,20,60,42,46
